date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Nov%202020%2014:57:26%20GMT	https://amarresconjurosyhechizos.com/robots.txt		(from )
09:57:32	30325/30325	---M--	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2016:03:03%20GMT	https://amarresconjurosyhechizos.com/	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/index.html	(from )
09:57:33	955/955	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2002:11:22%20GMT	https://amarresconjurosyhechizos.com/img/favicon.png	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/favicon.png	(from https://amarresconjurosyhechizos.com/)
09:57:38	16953/16953	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2002:11:38%20GMT	https://amarresconjurosyhechizos.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/animate/animate.min.css	(from https://amarresconjurosyhechizos.com/)
09:57:47	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2002:12:06%20GMT	https://amarresconjurosyhechizos.com/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/font-awesome/css/font-awesome.min.css	(from https://amarresconjurosyhechizos.com/)
09:57:47	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Nov%202020%2014:57:43%20GMT	http://amarresvidenciaamor.com/css/Back%20to%20top%20button.css	C:/My%20Web%20Sites/Pagina/amarresvidenciaamor.com/css/Back%20to%20top%20button.6.delayed	(from https://amarresconjurosyhechizos.com/)
09:57:49	2938/2938	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2002:13:15%20GMT	https://amarresconjurosyhechizos.com/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/owlcarousel/assets/owl.carousel.min.css	(from https://amarresconjurosyhechizos.com/)
09:57:51	2616/2616	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2002:12:55%20GMT	https://amarresconjurosyhechizos.com/lib/lightbox/css/lightbox.min.css	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/lightbox/css/lightbox.min.css	(from https://amarresconjurosyhechizos.com/)
09:57:53	26512/26512	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2002:10:57%20GMT	https://amarresconjurosyhechizos.com/css/style.css	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/css/style.css	(from https://amarresconjurosyhechizos.com/)
09:57:54	51284/51284	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202020%2002:12:23%20GMT	https://amarresconjurosyhechizos.com/lib/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/lib/ionicons/css/ionicons.min.css	(from https://amarresconjurosyhechizos.com/)
09:57:58	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Pagina/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://amarresconjurosyhechizos.com/)
09:58:15	30325/30325	---M--	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2016:03:03%20GMT	https://amarresconjurosyhechizos.com/index.html	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/index-2.html	(from https://amarresconjurosyhechizos.com/)
10:01:45	296245/296245	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:04%20GMT	https://amarresconjurosyhechizos.com/img/intro-carousel/4.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/intro-carousel/4.jpg	(from https://amarresconjurosyhechizos.com/)
10:02:25	162349/162349	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Oct%202020%2002:11:13%20GMT	https://amarresconjurosyhechizos.com/img/about-plan.jpg	C:/My%20Web%20Sites/Pagina/amarresconjurosyhechizos.com/img/about-plan.jpg	(from https://amarresconjurosyhechizos.com/)
